filepath,split
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/718.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/471.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/407.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/679.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/453.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/698.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/674.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/581.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/094.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/259.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/313.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/320.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/094.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/256.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/685.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/277.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/613.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/696.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/693.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/048.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/818.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/258.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/436.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/677.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/580.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/768.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/615.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/843.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/143.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/477.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/776.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/774.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/148.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/362.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/019.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/803.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/114.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/187.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/530.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/595.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/287.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/042.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/238.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/183.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/056.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/112.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/571.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/460.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/226.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/157.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/408.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/589.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/376.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/616.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/837.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/240.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/566.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/490.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/185.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/617.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/428.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/758.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/632.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/424.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/030.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/076.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/075.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/543.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/176.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/604.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/135.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/631.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/651.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/645.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/735.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/690.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/090.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/348.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/256.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/299.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/198.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/367.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/221.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/613.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/051.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/306.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/415.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/446.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/007.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/312(1).wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/380.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/203.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/072.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/340.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/621.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/015.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/441.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/392.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/505.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/300.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/041.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/114.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/642.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/324.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/533.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/333.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/481.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/419.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/132.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/243.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/533.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/141.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/089.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/726.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/252.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/321.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/184.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/461.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/441.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/090.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/700.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/379.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/604.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/338.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/098.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/051.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/366.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Keyboard/764.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/063.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/522.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/193.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/456.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Footstep/684.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/MovingMotorVehicle/328.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/044.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/SneezeCough/431.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Gunshot/150.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/Rain/145.wav,train
/content/drive/MyDrive/Thesis_Github_Code/DataSet/DogBark/297.wav,train
